"Votations populaires (résultats au niveau des cantons depuis 1866)"

"Canton";"Date et objet";"Bulletins valables";"Oui en %"
"Luzern";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";196811.00;62.35
"Luzern";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";188320.00;31.88
"Luzern";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";194748.00;59.32
"Luzern";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";151204.00;66.17
"Luzern";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";148941.00;32.01
"Luzern";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";178840.00;57.49
"Luzern";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";181021.00;47.98
"Luzern";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";179930.00;57.40
"Luzern";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";181510.00;33.87
"Luzern";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";181535.00;34.21
"Luzern";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";140153.00;55.91
"Luzern";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";141936.00;39.61
"Luzern";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";143146.00;50.45
"Uri";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";18676.00;56.30
"Uri";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";17359.00;27.43
"Uri";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";18258.00;57.74
"Uri";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";12931.00;58.25
"Uri";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";12545.00;31.51
"Uri";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";16563.00;53.69
"Uri";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";16829.00;35.01
"Uri";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";16811.00;45.14
"Uri";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";16894.00;27.67
"Uri";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";16881.00;27.43
"Uri";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";11249.00;55.52
"Uri";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";11450.00;36.22
"Uri";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";11592.00;58.82
"Schwyz";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";79365.00;48.62
"Schwyz";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";76469.00;28.56
"Schwyz";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";78225.00;51.40
"Schwyz";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";57608.00;56.48
"Schwyz";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";57243.00;23.42
"Schwyz";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";72190.00;50.41
"Schwyz";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";72758.00;34.52
"Schwyz";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";72580.00;40.93
"Schwyz";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";72881.00;28.53
"Schwyz";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";72908.00;29.24
"Schwyz";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";56454.00;58.87
"Schwyz";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";57260.00;36.34
"Schwyz";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";57563.00;60.16
"Obwalden";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";20116.00;51.19
"Obwalden";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";19356.00;29.14
"Obwalden";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";19904.00;52.39
"Obwalden";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";14815.00;59.26
"Obwalden";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";14590.00;25.09
"Obwalden";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";18585.00;56.31
"Obwalden";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";18876.00;36.17
"Obwalden";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";18763.00;43.29
"Obwalden";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";18909.00;27.70
"Obwalden";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";18930.00;27.83
"Obwalden";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";13900.00;59.12
"Obwalden";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";14142.00;39.89
"Obwalden";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";14258.00;56.25
"Nidwalden";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";23557.00;59.09
"Nidwalden";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";22508.00;29.55
"Nidwalden";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";23310.00;53.39
"Nidwalden";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";17805.00;61.57
"Nidwalden";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";17549.00;22.59
"Nidwalden";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";21053.00;55.63
"Nidwalden";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";21286.00;38.21
"Nidwalden";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";21199.00;48.64
"Nidwalden";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";21368.00;28.93
"Nidwalden";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";21358.00;29.18
"Nidwalden";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";16934.00;62.67
"Nidwalden";"2021-03-07 Loi fédérale sur les services d’identification électronique (LSIE)";17204.00;40.39
"Nidwalden";"2021-03-07 Initiative «Oui à l’interdiction de se dissimuler le visage»";17340.00;56.08
"Glarus";"2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife";17460.00;54.18
"Glarus";"2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)";16611.00;31.98
"Glarus";"2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (initiative sur les soins infirmiers)";17162.00;61.14
"Glarus";"2021-09-26 Modification du code civil suisse (Mariage pour tous)";11158.00;61.12
"Glarus";"2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»";10997.00;32.63
"Glarus";"2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)";15507.00;51.29
"Glarus";"2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)";15685.00;39.93
"Glarus";"2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19 (Loi COVID-19)";15562.00;49.08
"Glarus";"2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»";15701.00;40.10
"Glarus";"2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»";15701.00;40.70
"Glarus";"2021-03-07 Arrêté fédéral portant approbation de l’Accord de partenariat économique de large portée entre les États de l’AELE et l’Indonésie";11869.00;54.13
